order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Phagotrophy,Phagosome associated,Phagosome maturation,K10414,,"dynein heavy chain 2, cytosolic",,"dynein heavy chain 2, cytosolic",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10415,,"dynein intermediate chain, cytosolic",,"dynein intermediate chain, cytosolic",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10416,,"dynein light intermediate chain 1, cytosolic",,"dynein light intermediate chain 1, cytosolic",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07374,,tubulin alpha,,tubulin alpha,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07375,,tubulin beta,,tubulin beta,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08488,,syntaxin 7,,syntaxin 7,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07198,,"PRKAA, AMPK",,AMP-activated protein kinase catalytic alpha subunit,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08339,,ATG5,,Autophagy-related protein 5,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08334,,"BECN1, VPS30, ATG6",,Beclin 1,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08342,,ATG,,Cysteine protease ATG4,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K00914,,"PIK3C3, VPS34",,Phosphatidylinositol 3-kinase,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08333,,"PIK3R4, VPS15",,phosphoinositide-3-kinase regulatory subunit 4,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08269,,"ULK1_2_3, ATG1",,serine/threonine-protein kinase ULK/ATG1 ,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K06528,,lysosomal-associated membrane protein 1/2,,lysosomal-associated membrane protein 1/2,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K00921,,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150],,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150],,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10089,,cation-dependent mannose-6-phosphate receptor,,cation-dependent mannose-6-phosphate receptor,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K13240,,"nitric-oxide synthase, brain [EC:1.14.13.39]",,"nitric-oxide synthase, brain [EC:1.14.13.39]",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10789,,myeloperoxidase [EC:1.11.2.2],,myeloperoxidase [EC:1.11.2.2],,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10956,,protein transport protein SEC61 subunit alpha,,protein transport protein SEC61 subunit alpha,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K09481,,protein transport protein SEC61 subunit beta,,protein transport protein SEC61 subunit beta,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07342,,protein transport protein SEC61 subunit gamma and related proteins,,protein transport protein SEC61 subunit gamma and related proteins,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K05653,,"ATP-binding cassette, subfamily B (MDR/TAP), member 2",,"ATP-binding cassette, subfamily B (MDR/TAP), member 2",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K05654,,"ATP-binding cassette, subfamily B (MDR/TAP), member 3",,"ATP-binding cassette, subfamily B (MDR/TAP), member 3",,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K06751,,MHC class I antigen,,MHC class I antigen,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K06752,,MHC class II antigen,,MHC class II antigen,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K00921,,PIKFYVE FAB1,,1-phosphatidylinositol-3-phosphate 5-kinase,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08054,,CANX,,Calnexin,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K08057,,CALR,,Calreticulin,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K01365,,CTSL,,Cathepsin L,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10414,,DYNC2H DNCH2,,dynein heavy chain 2 cytosolic,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10956,,SEC61A,,Protein transport protein SEC61 subunit alpha,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07374,,TUBA,,Tubulin alpha,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K03661,,ATPeV0B ATP6F,,V-type H+-transporting ATPase 21kDa proteolipid subunit,,,,,,
,Phagotrophy,phosphatidylinositol 3-kinase [EC:2.7.1.137],Phagosome maturation,K00914,,phosphatidylinositol 3-kinase,,,,,,,,
,Phagotrophy,Ras-related protein Rab-5A,Phagosome maturation,K07887,,Rab-5A,,,,,,,,
,Phagotrophy,Ras-related protein Rab-5B,Phagosome maturation,K07888,,Rab-5B,,,,,,,,
,Phagotrophy,Ras-related protein Rab-5C,Phagosome maturation,K07889,,Rab-5C,,,,,,,,
,Phagotrophy,syntaxin 12/13,Phagosome maturation,K13813,,syntaxin 12/13,,,,,,,,
,Phagotrophy,transferrin receptor,Phagosome maturation,K06503,,transferrin receptor,,,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K13814,,TSNARE1,,t-SNARE domain-containing protein 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K04560,,syntaxin 1A,,syntaxin 1A,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08486,,syntaxin 1B/2/3,,syntaxin 1B/2/3,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K13502,,syntaxin 4,,syntaxin 4,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08487,,syntaxin 11,,syntaxin 11,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08488,,syntaxin 7,,syntaxin 7,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K21155,,syntaxin VAM3,,syntaxin VAM3,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08489,,syntaxin 16,,syntaxin 16,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08490,,syntaxin 5,,syntaxin 5,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08491,,syntaxin 17,,syntaxin 17,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08492,,syntaxin 18,,syntaxin 18,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08493,,vesicle transport through interaction with t-SNAREs 1,,vesicle transport through interaction with t-SNAREs 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08495,,golgi SNAP receptor complex member 1,,golgi SNAP receptor complex member 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08496,,golgi SNAP receptor complex member 2,,golgi SNAP receptor complex member 2,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08497,,protein transport protein SEC20,,protein transport protein SEC20,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08498,,syntaxin 6,,syntaxin 6,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08499,,member of the syntaxin family of t-SNAREs,,member of the syntaxin family of t-SNAREs,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08500,,syntaxin of plants SYP6,,syntaxin of plants SYP6,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08501,,syntaxin 8,,syntaxin 8,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08502,,regulator of vacuolar morphogenesis,,regulator of vacuolar morphogenesis,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08503,,syntaxin of plants SYP5,,syntaxin of plants SYP5,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08504,,blocked early in transport 1,,blocked early in transport 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08505,,protein transport protein SFT1,,protein transport protein SFT1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08506,,syntaxin of plants SYP7,,syntaxin of plants SYP7,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08507,,unconventional SNARE in the endoplasmic reticulum protein 1,,unconventional SNARE in the endoplasmic reticulum protein 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08508,,synaptosomal-associated protein 23,,synaptosomal-associated protein 23,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08509,,synaptosomal-associated protein 29,,synaptosomal-associated protein 29,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08510,,vesicle-associated membrane protein 1,,vesicle-associated membrane protein 1,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K13504,,vesicle-associated membrane protein 2,,vesicle-associated membrane protein 2,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K13505,,vesicle-associated membrane protein 3,,vesicle-associated membrane protein 3,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08512,,vesicle-associated membrane protein 8,,vesicle-associated membrane protein 8,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08513,,vesicle-associated membrane protein 4,,vesicle-associated membrane protein 4,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08514,,vesicle-associated membrane protein 5,,vesicle-associated membrane protein 5,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08515,,vesicle-associated membrane protein 7,,vesicle-associated membrane protein 7,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08516,,synaptobrevin homolog YKT6,,synaptobrevin homolog YKT6,,,,,,
,Phagotrophy,SNARE complex,SNARE complex,K08517,,vesicle transport protein SEC22,,vesicle transport protein SEC22,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02144,,ATPeV1H,,V-type H+-transporting ATPase subunit H,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02145,,"ATPeV1A, ATP6A",,V-type H+-transporting ATPase subunit A ,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02146,,"ATPeV0D, ATP6D",,V-type H+-transporting ATPase subunit d,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02147,,"ATPeV1B, ATP6B",,V-type H+-transporting ATPase subunit B,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02148,,"ATPeV1C, ATP6C",,V-type H+-transporting ATPase subunit C,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02149,,"ATPeV1D, ATP6M",,V-type H+-transporting ATPase subunit D,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02150,,"ATPeV1E, ATP6E",,V-type H+-transporting ATPase subunit E,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02151,,"ATPeV1F, ATP6S14",,V-type H+-transporting ATPase subunit F,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02152,,"ATPeV1G, ATP6G",,V-type H+-transporting ATPase subunit G,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02153,,"ATPeV0E, ATP6H",,V-type H+-transporting ATPase subunit e,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02154,,"ATPeV0A, ATP6N",,V-type H+-transporting ATPase subunit a,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K02155,,"ATPeV0C, ATP6L",,V-type H+-transporting ATPase 16kDa proteolipid subunit,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K03661,,"ATPeV0B, ATP6F",,V-type H+-transporting ATPase 21kDa proteolipid subunit,,,,,,
,Phagotrophy,V-type ATPase,V-type ATPase,K03662,,"ATPeVS1, ATP6S1",,V-type H+-transporting ATPase S1 subunit,,,,,,
,Glycosaminoglycan,,,,,GAGs,,,"GAGs are large complex carbohydrates that can be involved in cell adhesion, gell growth, differentiation Gandi & Mancera, 2008.","Haley et al. 2017; upregulated with low nutrient, strategies discussed.",,,,
,,,,,,sulfatases,,,,"Haley et al. 2017; upregulated with low nutrient, strategies discussed.",,,,
,,,,,,sulfotransferases,,,,"Haley et al. 2017; upregulated with low nutrient, strategies discussed.",,,,
,,,,,,GAG-like proteins,,,,"Haley et al. 2017; upregulated with low nutrient, strategies discussed.",,,,
