order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Gluconeogenesis-glycolysis,glucokinase ,Glycolysis,K00845,,glk,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glucokinase ,Glycolysis,K12407,,GCK,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glucose-6-phosphate isomerase ,Glycolysis,K01810,,"GPI, pgi","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde 3-phosphate dehydrogenase ,Glycolysis,K00134,,"GAPDH, gapA","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ,Glycolysis,K00150,,gap2,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,hexokinase ,Glycolysis,K00844,,HK,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,phosphoglycerate kinase ,Glycolysis,K00927,,"PGK, pgk","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,polyphosphate glucokinase ,Glycolysis,K00886,,ppgK,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,probable phosphoglycerate mutase ,Glycolysis,K15634,,gpmB,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,pyruvate kinase ,Glycolysis,K00873,,"PK, pyk","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,pyruvate kinase isozymes R/L ,Glycolysis,K12406,,PKLR,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,transaldolase / glucose-6-phosphate isomerase ,Glycolysis,K13810,,tal-pgi,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,triosephosphate isomerase (TIM) ,Glycolysis,K01803,,"TPI, tpiA","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Entner-Doudoroff pathway,2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase,,K01625,,eda,pathway that converts glc-6-P to pyruvate and glyceraldehyde-3-phosphate- hypothesized pathways to feed pyruvate into the TCA cycle when other sources of pyruvate (via glycolysys) are limited. EDA is a key enzyme in this pathway; diel regulation in diatoms (Chauton et al. 2013),,,,,,,
,,pyruvate-ferredoxin/flavodoxin oxidoreductase,por,K03737,,"por, nifJ",,,,,,,,
,Glyoxylate cycle,aconitate hydratase ,Glyoxylate cycle,K01681,,"ACO, acnA","Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,aconitate hydratase 2 / 2-methylisocitrate dehydratase ,Glyoxylate cycle,K01682,,acnB,"Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,citrate synthase ,Glyoxylate cycle,K01647,,"CS, gltA","Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,isocitrate lyase ,Glyoxylate cycle,K01637,,aceA,"Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,malate dehydrogenase ,Glyoxylate cycle,K00024,,mdh,"Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,malate dehydrogenase ,Glyoxylate cycle,K00025,,MDH1,"Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,malate dehydrogenase ,Glyoxylate cycle,K00026,,MDH2,"Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Glyoxylate cycle,malate synthase ,Glyoxylate cycle,K01638,,"aceB, glcB","Alternate TCA cycle, anabolic, creates glucose from fatty acids",,,Complete glyoxylate cycle?,,,,
,Photosynthesis,photosystem I P700 chlorophyll a apoprotein A1,Photosystem,K02689,,psaA,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem I P700 chlorophyll a apoprotein A2,Photosystem,K02690,,psaB,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem I subunit II,Photosystem,K02692,,psaD,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem I subunit III,Photosystem,K02694,,psaF,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem I subunit IV,Photosystem,K02693,,psaE,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem I subunit VII,Photosystem,K02691,,psaC,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem II CP43 chlorophyll apoprotein,Photosystem,K02705,,psbC,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem II CP47 chlorophyll apoprotein,Photosystem,K02704,,psbB,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem II cytochrome b559 subunit beta,Photosystem,K02708,,psbF,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem II P680 reaction center D1 protein ,Photosystem,K02703,,psbA,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Photosynthesis,photosystem II P680 reaction center D2 protein ,Photosystem,K02706,,psbD,,,,"Photosynthetic genes, complete? Or diversity of photosystems?",,,,
,Energy Acquisition,2-oxoglutarate dehydrogenase E1 component ,TCA cycle,K00164,,"OGDH, sucA",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) ,TCA cycle,K00658,,"DLST, sucB",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha ,TCA cycle,K00174,,"korA, oorA, oforA",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta ,TCA cycle,K00175,,"korB, oorB, oforB",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,aconitate hydratase ,TCA cycle,K01681,,"ACO, acnA",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,aconitate hydratase 2 / 2-methylisocitrate dehydratase ,TCA cycle,K01682,,acnB,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,citrate synthase ,TCA cycle,K01647,,"CS, gltA",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,dihydrolipoamide dehydrogenase ,TCA cycle,K00382,,"DLD, lpd, pdhD",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,fumarate hydratase subunit alpha ,TCA cycle,K01677,,fumA,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"fumarate hydratase, class I ",TCA cycle,K01676,,"fumA, fumB",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"fumarate hydratase, class II ",TCA cycle,K01679,,fumC,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,fumarate reductase flavoprotein subunit ,TCA cycle,K00244,,frdA,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,fumarate reductase iron-sulfur subunit ,TCA cycle,K00245,,frdB,,,,"TCA cycle, complete?",,,,
