T_number,org_code,name,taxonomy
T02308,cpsb,Chlamydia psittaci 84/55,Chlamydia psittaci 84/55
T01863,chc,Chlamydia psittaci C19/98,Chlamydia psittaci C19/98
T02251,cpsc,Chlamydia psittaci CP3,Chlamydia psittaci CP3
T02309,cpsg,Chlamydia psittaci GR9,Chlamydia psittaci GR9
T02310,cpsm,Chlamydia psittaci M56,Chlamydia psittaci M56
T02311,cpsi,Chlamydia psittaci MN,Chlamydia psittaci MN
T02450,cpsa,Chlamydia psittaci Mat116,Chlamydia psittaci Mat116
T02252,cpsn,Chlamydia psittaci NJ1,Chlamydia psittaci NJ1
T02153,chr,Chlamydia psittaci RD1,Chlamydia psittaci RD1
T02312,cpsv,Chlamydia psittaci VS225,Chlamydia psittaci VS225
T02313,cpsw,Chlamydia psittaci WC,Chlamydia psittaci WC
T02314,cpst,Chlamydia psittaci WS/RT/E30,Chlamydia psittaci WS/RT/E30
T08163,csee,Chlamydia serpentis,Chlamydia serpentis
T07130,csui,Chlamydia suis,Chlamydia suis
T02562,ctrq,Chlamydia trachomatis A/363,Chlamydia trachomatis A/363
T02563,ctrx,Chlamydia trachomatis A/5291,Chlamydia trachomatis A/5291
T02564,ctrz,Chlamydia trachomatis A/7249,Chlamydia trachomatis A/7249
T00280,cta,Chlamydia trachomatis A/HAR-13,Chlamydia trachomatis A/HAR-13
T01707,cty,Chlamydia trachomatis A2497,Chlamydia trachomatis A2497
T02094,cra,Chlamydia trachomatis A2497,Chlamydia trachomatis A2497
T00960,ctj,Chlamydia trachomatis B/Jali20/OT,Chlamydia trachomatis B/Jali20/OT
T01327,ctz,Chlamydia trachomatis B/TZ1A828/OT,Chlamydia trachomatis B/TZ1A828/OT
T02966,ctct,Chlamydia trachomatis C/TW-3,Chlamydia trachomatis C/TW-3
T01900,ctd,Chlamydia trachomatis D-EC,Chlamydia trachomatis D-EC
T01901,ctf,Chlamydia trachomatis D-LC,Chlamydia trachomatis D-LC
T02551,ctrd,Chlamydia trachomatis D/SotonD1,Chlamydia trachomatis D/SotonD1
T02560,ctro,Chlamydia trachomatis D/SotonD5,Chlamydia trachomatis D/SotonD5
T02561,ctrt,Chlamydia trachomatis D/SotonD6,Chlamydia trachomatis D/SotonD6
T00017,ctr,Chlamydia trachomatis D/UW-3/CX,Chlamydia trachomatis D/UW-3/CX
T01902,ctg,Chlamydia trachomatis E/11023,Chlamydia trachomatis E/11023
T01903,ctk,Chlamydia trachomatis E/150,Chlamydia trachomatis E/150
T02547,ctrb,Chlamydia trachomatis E/Bour,Chlamydia trachomatis E/Bour
T03168,ctec,Chlamydia trachomatis E/C599,Chlamydia trachomatis E/C599
T02164,ces,Chlamydia trachomatis E/SW3,Chlamydia trachomatis E/SW3
T02555,ctre,Chlamydia trachomatis E/SotonE4,Chlamydia trachomatis E/SotonE4
T02556,ctrs,Chlamydia trachomatis E/SotonE8,Chlamydia trachomatis E/SotonE8
T02805,ctch,Chlamydia trachomatis F/11-96,Chlamydia trachomatis F/11-96
T02165,cfs,Chlamydia trachomatis F/SW4,Chlamydia trachomatis F/SW4
T02166,cfw,Chlamydia trachomatis F/SW5,Chlamydia trachomatis F/SW5
T03169,ctfw,Chlamydia trachomatis F/SWFPminus,Chlamydia trachomatis F/SWFPminus
T02552,ctrf,Chlamydia trachomatis F/SotonF3,Chlamydia trachomatis F/SotonF3
T01904,ctn,Chlamydia trachomatis G/11074,Chlamydia trachomatis G/11074
T01905,ctq,Chlamydia trachomatis G/11222,Chlamydia trachomatis G/11222
T01906,ctv,Chlamydia trachomatis G/9301,Chlamydia trachomatis G/9301
T01907,ctw,Chlamydia trachomatis G/9768,Chlamydia trachomatis G/9768
T02553,ctrg,Chlamydia trachomatis G/SotonG1,Chlamydia trachomatis G/SotonG1
T02493,ctri,Chlamydia trachomatis IU824,Chlamydia trachomatis IU824
T02540,ctra,Chlamydia trachomatis IU888,Chlamydia trachomatis IU888
T02565,ctrh,Chlamydia trachomatis Ia/SotonIa1,Chlamydia trachomatis Ia/SotonIa1
T02566,ctrj,Chlamydia trachomatis Ia/SotonIa3,Chlamydia trachomatis Ia/SotonIa3
T02762,ctjt,Chlamydia trachomatis J/6276tet1,Chlamydia trachomatis J/6276tet1
T02546,ctrk,Chlamydia trachomatis K/SotonK1,Chlamydia trachomatis K/SotonK1
T02569,ctlj,Chlamydia trachomatis L1/115,Chlamydia trachomatis L1/115
T02557,ctrp,Chlamydia trachomatis L1/1322/p2,Chlamydia trachomatis L1/1322/p2
T02570,ctlx,Chlamydia trachomatis L1/224,Chlamydia trachomatis L1/224
T02571,ctll,Chlamydia trachomatis L1/440/LN,Chlamydia trachomatis L1/440/LN
T02559,ctrr,Chlamydia trachomatis L2/25667R,Chlamydia trachomatis L2/25667R
T00645,ctb,Chlamydia trachomatis L2/434/Bu,Chlamydia trachomatis L2/434/Bu
T02621,ctlf,Chlamydia trachomatis L2/434/Bu(f),Chlamydia trachomatis L2/434/Bu(f)
T02622,ctli,Chlamydia trachomatis L2/434/Bu(i),Chlamydia trachomatis L2/434/Bu(i)
T02572,ctlb,Chlamydia trachomatis L2b/795,Chlamydia trachomatis L2b/795
T02573,ctlq,Chlamydia trachomatis L2b/8200/07,Chlamydia trachomatis L2b/8200/07
T02558,ctrm,Chlamydia trachomatis L2b/Ams1,Chlamydia trachomatis L2b/Ams1
T02574,ctla,Chlamydia trachomatis L2b/Ams2,Chlamydia trachomatis L2b/Ams2
T02575,ctlm,Chlamydia trachomatis L2b/Ams3,Chlamydia trachomatis L2b/Ams3
T02576,ctls,Chlamydia trachomatis L2b/Ams4,Chlamydia trachomatis L2b/Ams4
T02577,ctlz,Chlamydia trachomatis L2b/Ams5,Chlamydia trachomatis L2b/Ams5
